pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,base_total
1,Bulbasaur,grass,poison,45,49,49,65,65,45,318
2,Ivysaur,grass,poison,60,62,63,80,80,60,405
3,Venusaur,grass,poison,80,100,123,122,120,80,625
4,Charmander,fire,,39,52,43,60,50,65,309
5,Charmeleon,fire,,58,64,58,80,65,80,405
6,Charizard,fire,flying,78,104,78,159,115,100,634
7,Squirtle,water,,44,48,65,50,64,43,314
8,Wartortle,water,,59,63,80,65,80,58,405
9,Blastoise,water,,79,103,120,135,115,78,630
10,Caterpie,bug,,45,30,35,20,20,45,195
11,Metapod,bug,,50,20,55,25,25,30,205
12,Butterfree,bug,flying,60,45,50,90,80,70,395
13,Weedle,bug,poison,40,35,30,20,20,50,195
14,Kakuna,bug,poison,45,25,50,25,25,35,205
15,Beedrill,bug,poison,65,150,40,15,80,145,495
16,Pidgey,normal,flying,40,45,40,35,35,56,251
17,Pidgeotto,normal,flying,63,60,55,50,50,71,349
18,Pidgeot,normal,flying,83,80,80,135,80,121,579
19,Rattata,normal,dark,30,56,35,25,35,72,253
20,Raticate,normal,dark,75,71,70,40,80,77,413
21,Spearow,normal,flying,40,60,30,31,31,70,262
22,Fearow,normal,flying,65,90,65,61,61,100,442
23,Ekans,poison,,35,60,44,40,54,55,288
24,Arbok,poison,,60,95,69,65,79,80,448
25,Pikachu,electric,,35,55,40,50,50,90,320
26,Raichu,electric,electric,60,85,50,95,85,110,485
27,Sandshrew,ground,ice,50,75,90,10,35,40,300
28,Sandslash,ground,ice,75,100,120,25,65,65,450
29,Nidoran♀,poison,,55,47,52,40,40,41,275
30,Nidorina,poison,,70,62,67,55,55,56,365
31,Nidoqueen,poison,ground,90,92,87,75,85,76,505
32,Nidoran♂,poison,,46,57,40,40,40,50,273
33,Nidorino,poison,,61,72,57,55,55,65,365
34,Nidoking,poison,ground,81,102,77,85,75,85,505
35,Clefairy,fairy,,70,45,48,60,65,35,323
36,Clefable,fairy,,95,70,73,95,90,60,483
37,Vulpix,fire,ice,38,41,40,50,65,65,299
38,Ninetales,fire,ice,73,67,75,81,100,109,505
39,Jigglypuff,normal,fairy,115,45,20,45,25,20,270
40,Wigglytuff,normal,fairy,140,70,45,85,50,45,435
41,Zubat,poison,flying,40,45,35,30,40,55,245
42,Golbat,poison,flying,75,80,70,65,75,90,455
43,Oddish,grass,poison,45,50,55,75,65,30,320
44,Gloom,grass,poison,60,65,70,85,75,40,395
45,Vileplume,grass,poison,75,80,85,110,90,50,490
